case_id,activity,timestamp,duration_seconds,variant,amount,submitter_id
CASE-00001,submit,2023-11-16 01:55:58.110352+00:00,317.85,escalation,173.8,EMP-071
CASE-00001,manager_approval,2023-11-16 02:01:15.958823+00:00,94121.28,escalation,173.8,EMP-071
CASE-00001,finance_review,2023-11-17 04:09:57.240627+00:00,169621.28,escalation,173.8,EMP-071
CASE-00001,paid,2023-11-19 03:16:58.521835+00:00,2471.9,escalation,173.8,EMP-071
CASE-00002,submit,2023-11-11 08:30:57.784146+00:00,286.09,escalation,207.32,EMP-024
CASE-00002,manager_approval,2023-11-11 08:35:43.876574+00:00,86231.47,escalation,207.32,EMP-024
CASE-00002,finance_review,2023-11-12 08:32:55.345316+00:00,192574.83,escalation,207.32,EMP-024
CASE-00002,paid,2023-11-14 14:02:30.179819+00:00,4837.11,escalation,207.32,EMP-024
CASE-00003,submit,2023-11-22 01:47:01.894403+00:00,368.94,escalation,1141.18,EMP-151
CASE-00003,manager_approval,2023-11-22 01:53:10.839214+00:00,59735.3,escalation,1141.18,EMP-151
CASE-00003,finance_review,2023-11-22 18:28:46.136302+00:00,197142.64,escalation,1141.18,EMP-151
CASE-00003,paid,2023-11-25 01:14:28.773720+00:00,4395.35,escalation,1141.18,EMP-151
CASE-00004,submit,2023-12-02 14:05:18.365592+00:00,322.6,happy_path,1115.8,EMP-196
CASE-00004,manager_approval,2023-12-02 14:10:40.961584+00:00,91761.41,happy_path,1115.8,EMP-196
CASE-00004,finance_approval,2023-12-03 15:40:02.372089+00:00,48832.75,happy_path,1115.8,EMP-196
CASE-00004,paid,2023-12-04 05:13:55.125112+00:00,2598.1,happy_path,1115.8,EMP-196
CASE-00005,submit,2023-10-25 11:14:56.484693+00:00,321.47,rejection_loop,3662.17,EMP-138
CASE-00005,manager_rejects,2023-10-25 11:20:17.954171+00:00,3485.97,rejection_loop,3662.17,EMP-138
CASE-00005,resubmit,2023-10-25 12:18:23.925472+00:00,6521.05,rejection_loop,3662.17,EMP-138
CASE-00005,manager_approval,2023-10-25 14:07:04.975958+00:00,115690.83,rejection_loop,3662.17,EMP-138
CASE-00005,paid,2023-10-26 22:15:15.803658+00:00,4241.23,rejection_loop,3662.17,EMP-138
CASE-00006,submit,2023-11-13 00:31:13.982933+00:00,262.53,happy_path,394.3,EMP-170
CASE-00006,manager_approval,2023-11-13 00:35:36.509924+00:00,84242.18,happy_path,394.3,EMP-170
CASE-00006,finance_approval,2023-11-13 23:59:38.689092+00:00,46046.79,happy_path,394.3,EMP-170
CASE-00006,paid,2023-11-14 12:47:05.478519+00:00,3644.82,happy_path,394.3,EMP-170
CASE-00007,submit,2023-11-01 06:39:56.518971+00:00,327.53,happy_path,3196.64,EMP-094
CASE-00007,manager_approval,2023-11-01 06:45:24.045022+00:00,66638.6,happy_path,3196.64,EMP-094
CASE-00007,finance_approval,2023-11-02 01:16:02.646874+00:00,51662.32,happy_path,3196.64,EMP-094
CASE-00007,paid,2023-11-02 15:37:04.967756+00:00,3192.99,happy_path,3196.64,EMP-094
CASE-00008,submit,2024-02-11 05:49:39.961724+00:00,213.12,happy_path,3193.14,EMP-137
CASE-00008,manager_approval,2024-02-11 05:53:13.082868+00:00,97322.96,happy_path,3193.14,EMP-137
CASE-00008,finance_approval,2024-02-12 08:55:16.044990+00:00,49217.88,happy_path,3193.14,EMP-137
CASE-00008,paid,2024-02-12 22:35:33.929881+00:00,4883.71,happy_path,3193.14,EMP-137
CASE-00009,submit,2024-02-19 16:19:10.624367+00:00,294.36,escalation,3438.84,EMP-197
CASE-00009,manager_approval,2024-02-19 16:24:04.982718+00:00,87124.28,escalation,3438.84,EMP-197
CASE-00009,finance_review,2024-02-20 16:36:09.259247+00:00,183739.85,escalation,3438.84,EMP-197
CASE-00009,paid,2024-02-22 19:38:29.113171+00:00,3315.97,escalation,3438.84,EMP-197
CASE-00010,submit,2023-11-28 15:24:30.402178+00:00,343.42,happy_path,4717.4,EMP-184
CASE-00010,manager_approval,2023-11-28 15:30:13.820097+00:00,74265.17,happy_path,4717.4,EMP-184
CASE-00010,finance_approval,2023-11-29 12:07:58.992103+00:00,37212.62,happy_path,4717.4,EMP-184
CASE-00010,paid,2023-11-29 22:28:11.608174+00:00,4457.05,happy_path,4717.4,EMP-184
CASE-00011,submit,2024-01-08 00:22:54.808906+00:00,265.99,happy_path,1270.81,EMP-144
CASE-00011,manager_approval,2024-01-08 00:27:20.798936+00:00,85971.36,happy_path,1270.81,EMP-144
CASE-00011,finance_approval,2024-01-09 00:20:12.159757+00:00,35585.83,happy_path,1270.81,EMP-144
